feature,percentage
t_duration_ms,35.77103862947688
rr_min,11.734389539739
s_amplitude_mv,9.257712772303238
t_inversion_proxy,9.066832096585614
q_amplitude_mv,4.347307389468157
qt_interval_ms,4.070530409677645
r_amplitude_mv,3.893965784638869
p_amplitude_mv,3.8152275059053546
st_elevation_mv,3.6839970413494982
qrs_duration_ms,3.5384505261148425
rr_skew,3.23065543652021
t_amplitude_mv,2.7820858485838706
t_asymmetry,2.6031352150986704
qtc_pr_ratio,2.2046718045381497
